sentence,sentence_fra
An ka pèd souf.,Je suis à bout de souffle.
An ka rété Bastè.,J'habite en Basse-Terre.
An ka rété Bayif.,J'habite à Baillif.
An ka rété Dézirad.,J'habite à la Désirade.
An ka rété Goubè.,J'habite à Gourbeyre.
An ka rété Granntè.,J'habite en Grande-Terre.
An ka rété Lapwent.,J'habite à Pointe-à-Pitre.
An ka rété Lésent.,J'habite aux Saintes.
An ka rété Marigalant.,J'habite à Marie-Galante.
An ka rété Senfwanswa.,J'habite à Saint-François.
An ka rété Senklòd.,J'habite à Saint-Claude.
An ka rété Twarivyè.,J'habite à Trois-Rivières.
An ka rété Zabim.,J'habite aux Abymes.
An ka rété Zabitan.,J'habite à Vieux-Habitants.
An ka sav.,Je sais.
An ka sonjé'w toultan.,Je pense à toi tout le temps.
An ka sonjé'w.,Je pense à toi.
An ka sonjé'y chak jou.,J'y pense chaque jour.
An ka vin.,Je viens.
An ka wazé mwen chak jou.,Je me rase chaque jour.
An ka wouvini.,Je reviens.
An konmansé konpwann.,Je commence à comprendre.
An konstipé.,Je suis constipé.
An kontan ou enmé zanmi an mwen.,Je suis heureux que vous aimiez mes amis.
An kontan poul.,J'aime le poulet.
An kontan'w.,Je t'aime !
An kontan.,Je suis heureux.
An ké alé lè yo ka wouvini isit.,Je m'en irai lorsqu'ils reviendront ici.
An ké dwésé'w.,Je vais te faire marcher droit.
An ké gannyé sa.,J'achèterai ça.
An ké manjé on gato.,Je mangerai un gâteau.
An ké manjé on kiwi.,Je mangerai un kiwi.
An ké manjé on ponm.,Je mangerai une pomme.
An ké manjé on sitwon.,Je mangerai un citron.
An ké manjé.,Je mangerai.
An ké pòté on ti pwason ba zòt.,Je vous apporterai un peu de poisson.
An ké éséyé.,J'essaierai.
An kòlè.,Je suis en colère.
An las !,Je suis fatigué !
"An livè, lapli ka tonbé on chay toulé jou.","En hiver, il pleut beaucoup chaque jour."
"An livè, lapli ka tonbé onlo toulé jou.","En hiver, il pleut beaucoup chaque jour."
"An livè, lapli ka tonbé onpil chak jou.","En hiver, il pleut beaucoup chaque jour."
An lévé a sétè d'maten.,Je me suis reveillé à sept heures du matin.
An malad a wòb-lasa.,Cette robe me plaît énormément.
An malad.,Je suis malade.
An manjé on ponm.,Je mangeais un kiwi.
An manjé on sandouch.,Je mangeais un sandwich.
An manjé pen.,J'ai mangé du pain.
An manjé.,J'ai mangé.
An manké avyon-la.,J'ai raté l'avion.
An mayé.,Je suis marié.
An mwen gwan pasé yo.,Je suis plus grand qu'eux.
An mwen gwan pasé zòt.,Je suis moins grand que vous.
An mwen gwan pasé'w.,Je suis moins grand que toi.
An ni disètan.,J'ai dix-sept ans.
An ni dizan.,J'ai dix ans.
An ni diznèvan.,J'ai dix-neuf ans.
An ni dizywitan.,J'ai dix-huit ans.
An ni douzan.,J'ai douze ans.
An ni dé frè é twa sè.,J'ai deux frères et trois sœurs.
An ni dé frè.,J'ai deux frères.
An ni dézan.,J'ai deux ans.
An ni karanndézan.,J'ai quarante-deux ans.
An ni karantan.,J'ai quarante ans.
An ni katran.,J'ai quatre ans.
An ni katòzan.,J'ai quatorze ans.
An ni kenzan.,J'ai quinze ans.
An ni nèvan.,J'ai neuf ans.
An ni on chival blan.,J'ai un cheval blanc.
An ni on frè é dé sè.,J'ai un frère et deux sœurs.
An ni on gwo né.,J'ai un gros nez.
An ni on kansè.,J'ai un cancer.
An ni on lagrip.,J'ai un rhume.
An ni on lagwip.,J'ai un rhume.
An ni on téléfòn nèf.,J'ai un nouveau téléphone.
An ni onnan.,J'ai un an.
An ni onzan.,J'ai onze ans.
An ni san dòla an pòch an mwen.,J'ai cent dollars dans ma poche.
An ni san lanné.,J'ai cent ans.
An ni santan.,J'ai cent ans.
An ni senk dòla an pòch an mwen.,J'ai cinq dollars dans ma poche.
An ni senkan.,J'ai cinq ans.
An ni senkant éwo an pòch an mwen.,J'ai cinquante euros dans ma poche.
An ni senkantan.,J'ai cinquante ans.
An ni senkantéennan.,J'ai cinquante et un ans.
An ni sizan.,J'ai six ans.
An ni swansantéennan.,J'ai soixante et un ans.
An ni swasanndézan.,J'ai soixante-deux ans.
An ni swasanntwazan.,J'ai soixante-trois ans.
An ni swasantéonzan.,J'ai soixante et onze ans.
An ni sètan.,J'ai sept ans.
An ni sèz éwo an pòch an mwen.,J'ai seize euros dans ma poche.
An ni sèzan.,J'ai seize ans.
An ni timoun.,J'ai des enfants.
An ni tranndézan.,J'ai trente-deux ans.
An ni trantan.,J'ai trente ans.
An ni trèzan.,J'ai treize ans.
An ni twa frè.,J'ai trois frères.
An ni twa éwo an pòch an mwen.,J'ai trois euros dans ma poche.
An ni twantéennan.,J'ai trente et un ans.
An ni twazan.,J'ai trois ans.
An ni venndézan.,J'ai vingt-deux ans.
An ni venntwazan.,J'ai vingt-trois ans.
An ni ventan.,J'ai vingt ans.
An ni ventéennan.,J'ai vingt et un ans.
An ni ywitan.,J'ai huit ans.
An nou akaz !,Allons chez moi !
An nou akaz a'w !,Allons chez toi !
An nou akaz a'y !,Allons chez lui !
An nou alé oti avoka la !,Allons consulter l'avocat !
An nou ay !,Allons-y !
An nou bat !,Travaillons !
An nou bwè !,Buvons !
An nou bwè.,Buvons.
An nou dòmi !,Dormons !
An nou jwé.,Jouons.
An nou koumansé !,Débutons !
An nou li.,Lisons.
An nou limé blan balenn la.,Allumons la bougie.
An nou limé bouji la.,Allumons la bougie.
An nou lévé.,Levons-nous.
An nou manjé.,Mangeons.
An nou palé !,Parlons !
An nou palé anglé.,Parlons anglais.
An nou pwiyédyé !,Prions !
An nou pòté mannèv !,Dépêchons-nous !
An nou twavay !,Travaillons !
An nou wété la.,Restons-y.
An pa enmé jé-lasa.,Je n'aime pas ce jeu.
An pa enmé navé.,Je n'aime pas les navets.
An pa jalou.,Je ne suis pas jaloux.
An pa k'ay ankò !,Je n'irai plus !
An pa ka konpwann.,Je ne comprends pas.
An pa ka mangé.,Je ne suis pas en train de manger.
An pa ka pwan sa pou moun anmèwdé mwen.,Je n'accepte pas qu'on m'embête.
An pa ka tann.,Je ne veux rien entendre.
An pa ka vwè.,Je ne veux rien voir.
An pa la.,Je m'en vais.
An pa manjé.,Je n'ai pas mangé.
An pa moun isit.,Je ne suis pas d'ici.
An pa ni bon souvènans a'y.,Je n'ai pas gardé un bon souvenir de lui.
An pa sa fè sa.,Je ne sais pas le faire.
An pa sav o yo yé.,Je ne sais pas où ils sont.
An pa sav ola yo yé.,Je ne sais pas où ils sont.
An pa sav.,Je ne sais pas.
An pa té k'ay manjé.,Je n'allais pas manger.
An pa'a manjé.,Je ne suis pas en train de manger.
An pisimyé légim kri ki légim kuit.,Je préfère les légumes crus aux légumes cuits.
An pisimé anglé.,Je préfère l'anglais.
An pisimé chiwé biyé.,Je préfère divorcer.
An pisimé chiwé papyé.,Je préfère divorcer.
An pisimé chyen.,Je préfère les chiens.
An pisimé divòsé.,Je préfère divorcer.
An pisimé kafé.,Je préfère le café.
An pisimé li.,Je préfère lire.
An pisimé maché.,Je préfère marcher.
An pisimé nwè la.,Je préfère le noir.
An pisimé nèg la.,Je préfère le nègre.
An pisimé twépasé.,Je préfère mourir.
An pisimé wouj la.,Je préfère le rouge.
An pisimé'y kon sa.,Je le préfère ainsi.
An piti.,Je suis petit.
An pli gwan pasé'w.,Je suis plus grand que toi.
An pwisi'w.,Je suis amoureux de toi.
An pè.,J'ai peur.
An pèd alyans an mwen.,J'ai perdu mon alliance.
An pèd fil an mwen.,Je ne sais plus ce que je voulais dire.
"An pèd on koté soulyé, sèten yo kaché i.",J'ai perdu une chaussure ; je suis sûr qu'on l'a cachée.
An pèd on koté soulyé.,J'ai perdu une chaussure.
An pé enmé.,Je peux aimer.
An pé ké manjé.,Je ne mangerai pas.
An pé pa fè sa démen.,Je ne peux pas faire ça demain.
An pé pa tann li.,Je ne peux pas l'entendre.
"An pé pa, an ja ni mo.","Je ne peux pas, j'ai déjà rendez-vous."
An pé'é manjé.,Je ne mangerai pas.
"An santi on gout lapli, an k'ay kaché.","J'ai senti une goutte de pluie, je vais m'abriter."
An sav la i yé.,Je sais où il est.
An sav la nou yé.,Je sais où nous sommes.
An swèf.,J'ai soif.
An sé moun Ayiti.,Je suis d'Haïti.
An sé moun Dominik.,Je suis de Dominique.
An sé moun Fwans.,Je suis français.
An sé moun Gwadloup.,Je suis guadeloupéen.
An sé moun Matinik.,Je suis martiniquais.
An sé moun isi.,Je suis d'ici.
An sé on chantè.,Je suis chanteur.
An sé on chantèz.,Je suis chanteuse.
An sé on dansè.,Je suis danseur.
An sé on dansèz.,Je suis danseuse.
An sé on najè.,Je suis nageur.
An sé on najèz.,Je suis nageuse.
An sé on ékwiven.,Je suis écrivain.
An sòti manjé on falafèl.,Je viens de manger un falafel.
An sòti manjé.,Je viens de finir de manger.
An sòti twapé on lidé.,Je viens d'avoir une idée.
An twis san vou.,Je suis triste sans toi.
An té enmé zòt.,Je vous aimais.
An té enmé'w.,Je t'aimais.
An té enmé'y.,Je l'aimais.
An té fen.,J'avais faim.
An té k'ay manjé.,J'allais manger.
An té ka chaché Anndi. Ès ou sav ki koté i yé ?,Je cherchais Andy. Sais-tu où il est ?
An té ké manjé on chival.,Je pourrais manger un cheval.
An té ké manjé on chouval.,Je pourrais manger un cheval.
An té ké vlé mandé'w on sèvis.,Je voudrais te demander un service.
An té ké vlé rézèwvé on chanm.,Je voudrais réserver une chambre.
An vivan.,Je suis en vie.
An vlé achté on kado ban Tòm.,Je veux acheter un cadeau pour Tom.
An vlé gannyé on kado ban Tòm.,Je veux acheter un cadeau pour Tom.
An vwè bato ka pasé o fon-la.,J'ai vu de frands bateaux passer au large.
An vé pa ay lékòl.,Je ne veux pas aller à l'école.
Anarchis vlé krazé tout biten.,Les anarchistes veulent tout détruire.
"Anbalaj-la pa té bon, ni dé vè ki kasé.","L'emballage était défectueux, il y a deux verres de cassés."
"Anhan, dé.","Oui, deux."
"Anhan, poukisa ?","Oui, pourquoi ?"
Anhan.,Oui.
Anhan. Mèsi.,Oui. Merci.
Anj-la vin di Mari bonjou.,L'ange vint saluer Marie.
Anki vou pé fè sa ban mwen.,Toi seul peux faire ça pour moi.
Ankò.,Encore une fois.
Anmwé !,Au secours !
Annou chanté !,Chantons !
Aoyi ka dansé.,Aoi danse.
"Apatoudi di an ké fè, sé an ka fè.","Il ne suffit pas de dire je ferai, il faut le faire."
Apawèy-lasa two konpliké ban mwen.,Cet appareil photo est trop sophistiqué pour moi.
Apawèy-lasa two konpliké pou mwen.,Cet appareil photo est trop sophistiqué pour moi.
"Apwé manjé-la, an toujou ka manjé on fwi.","Après le repas, je mange toujours un fruit."
"Apwé manjé-la, mwen toujou manjé on fwi.","Après le repas, je mange toujours un fruit."
Asasinè !,Meurtrier !
Asipawé i malad.,On dirait qu'il est malade.
Asipawé ou malad.,On dirait que tu es malade.
Asipawé yo malad.,On dirait qu'ils sont malades.
Asipawé zò malad.,On dirait que vous êtes malades.
Asipawé zòt malad.,On dirait que vous êtes malades.
Asipozé an pa vlé vin.,Supposons que je ne veuille pas venir.
Asipozé i pa vlé vin.,Supposons qu'elle ne veuille pas venir.
Asipozé i pa vlé vini.,Supposons qu'elle ne veuille pas venir.
Asipozé mwen pa vlé vini.,Supposons que je ne veuille pas venir.
Asipozé ou pa vlé vin.,Supposons que tu ne veuilles pas venir.
Asipozé ou pa vlé vini.,Supposons que tu ne veuilles pas venir.
Asipozé yo pa vlé vin.,Supposons qu'ils ne veuillent pas venir.
Asipozé yo pa vlé vini.,Supposons qu'ils ne veuillent pas venir.
Aséfyé !,Grâce !
Aséfyé.,Pouce.
Avan an té enmé'w.,Autrefois je t'aimais.
Avan mwen té enmé'w.,Autrefois je t'aimais.
Avyon-la tonbé.,L'avion s'est écrasé.
Awa !,Non !
"Awa, pa fè sa !","Non, ne fais pas ça !"
Ay !,Aïe !
Ay dòmi !,Va dormir !
Ay tou dwèt !,Continuez tout droit !
Ayen pa ka fè pitit.,Rien ne se fait sans rien.
Ayen.,Rien.
Ayenki lanmò ki pa ni wimèd.,Seule la mort est irrémédiable.
Ayenn a fè !,Rien à faire !
Ayisyen débaké Mawi-Galant.,Des Haïtiens ont débarqué à Marie-Galante.
Ba Jàn boutèy-lasa.,Donne cette bouteille à Jeanne.
Ba andsou !,La barre sous le vent !
Ba i !,Rosse-le !
Ba i adan i !,Donne-lui en.
Ba i adan i.,Donne-lui en.
Ba i balan !,Donne-lui de l'élan !
Ba i ta papa !,Donne-lui celui de papa !
Ba i tan manman !,Donne-lui celui de maman !
Ba kò a'w bann.,Dépêche-toi.
Ba kò a'w pòté mannèv.,Dépêche-toi.
Ba papa sa !,Donne ça à papa !
Ba yo chèz-la.,Donne-leur la chaise.
Ba yo on palkondywit.,Accompagne-les.
Ba yo pen-la.,Donne-leur le pain.
"Ba yo pyé, yo ka pwan men.","Donnez-leur le pied, ils prennent la main."
Ba yo sak-lasa.,Donne-leur ce sac.
Ba yo sé liv-la.,Donne-leur les livres.
Ba yo téléfòn-la.,Donne-leur le téléphone.
Ba Èstéfann ponm-la.,Donne la pomme à Stéphane.
Ba'y adan'y !,Donne-lui en.
Ba'y balan !,Donne-lui de l'élan !
Ba'y landòmi.,Donnez-lui l'anesthésie.
Ba'y li !,Donne-le lui !
Ba'y on palkondywit.,Accompagne-le.
Ba'y ta papa !,Donne-lui celui de papa !
Ba'y tan manman !,Donne-lui celui de maman !
Bab a misyé la blan.,Le monsieur a la barbe blanche.
Babilòn la adan on loto.,Le flic est dans une voiture.
Bagaj an mwen paré.,Mes bagages sont prêts.
"Bak-la plen, pa ni plas pou sé tomat lasa.","Le bac du réfrigérateur est plein, il n'y a pas de place pour ces tomates."
"Balans a'w pa bon, madanm.","Votre balance n'est pas juste, madame."
Ban manman li !,Donne-le à maman !
Ban manman sa !,Donne ça à maman !
Ban mwen abajou-la.,Donne-moi l'abat-jour.
Ban mwen abajou-lasa.,Donne-moi cet abat-jour.
Ban mwen boutèy-la.,Donne-moi la bouteille.
Ban mwen bwèt-la.,Donne-moi la boîte.
Ban mwen bwèt-lasa.,Donne-moi cette boîte.
Ban mwen diksyonnè-la.,Donne-moi le dictionnaire.
Ban mwen fomaj-la.,Donne-moi le fromage.
Ban mwen fouchèt-la.,Donne-moi la fourchette.
Ban mwen fè on kawé bisiklèt !,Laisse-moi faire un tour de vélo !
Ban mwen i.,Donne-le-moi.
Ban mwen kayé-la.,Donne-moi le cahier.
Ban mwen kouto-la.,Donne-moi le couteau.
Ban mwen kyouyè-la.,Donne-moi la cuillère.
Ban mwen kywiyè-la.,Donne-moi la cuillère.
Ban mwen li !,Donne-le moi !
Ban mwen liv-la.,Donne-moi le livre.
Ban mwen mont a'w.,Passe-moi ta montre.
Ban mwen on pa bonbon souplé.,"Donne-moi une part de gâteau, s'il te plaît."
Ban mwen on pa bonbon.,Donne-moi une part de gâteau.
Ban mwen on pal.,Aide-moi.
"Ban mwen on tibo, dé tibo, twa tibo, doudou.","Donne-moi un baiser, deux baisers, trois baisers, chérie."
Ban mwen pen-la.,Donne-moi le pain.
Ban mwen salad-la.,Donne-moi la salade.
Ban mwen sèl-la.,Donne-moi le sel.
Ban mwen sé chèz-la.,Donne-moi les chaises.
Ban mwen sé fouchèt-la.,Donne-moi les fourchettes.
Ban mwen sé kayé-la.,Donne-moi les cahiers.
Ban mwen ti fwi la.,Donne-moi le petit fruit.
Ban mwen ti fwi lasa.,Donne-moi ce petit fruit.
Ban mwen ti kayé la.,Donne-moi le cahier.
Ban mwen ti kayé lasa.,Donne-moi ce petit cahier.
Ban mwen ti liv la.,Donne-moi le petit livre.
Ban mwen ti liv lasa.,Donne-moi ces petits livres.
Ban mwen ti pen lasa.,Donne-moi ce petit pain.
Ban mwen vè-la.,Donne-moi le verre.
Ban nou li !,Donne-le nous !
Ban'y liv-la.,Donne-lui le livre.
Ban'y liv-lasa.,Donne-lui ce livre.
Ban'y sé liv-la.,Donne-lui les livres.
Bato-la ka koulé.,Le bateau coule.
Bato-la koulé adan on batzyé.,Le bateau a coulé en un clin d'œil.
Bay waka !,Applaudissez !
Bi !,But !
Bilal gwan pasé Kawam.,Bilal est plus grand que Karam.
Bilal pli gwan ki Kawam.,Bilal est plus grand que Karam.
Bilal pli gwan pasé Kawam.,Bilal est plus grand que Karam.
Bliyé !,Oublie !
Bliyé'y.,Oublie-le.
Bon Nwèl !,Joyeux Noël !
Bon fèt !,Bon anniversaire !
Bon fèt Pak !,Joyeuses Pâques !
Bon lannywit !,Bonne nuit !
Bondyé enmé'w.,Dieu t'aime.
Bonjou !,Bonjour !
Bonjou ! Non an mwen sé Tòm.,Bonjour ! Je m'appelle Tom.
Bonjou ! Tinon an mwen sé Tòm !,Bonjour ! Je m'appelle Tom.
Bonjou Chikago !,"Bonjour, Chicago !"
Bonjou Mayk.,"Bonjour, Mike."
Bonjou Tòm.,"Bonjour, Tom."
Bonjou konpè ! Ka sa yé ?,Bonjour mon ami ! Comment ça va ?
Bonjou manmzèl !,Bonjour Mademoiselle !
Bonjou misyé !,Bonjour Monsieur !
"Bonjou, ka'w fè ?","Bonjour, comment allez-vous ?"
"Bonjou, non an mwen sé Mayk.","Salut, je m'appelle Mike."
"Bonjou, non an mwen sé Tòm !","Salut, je m'appelle Tom !"
"Bonjou, tinon an mwen sé Mayk.","Salut, je m'appelle Mike."
"Bonjou, tinon an mwen sé Tòm !","Salut, je m'appelle Tom !"
Bonjou.,Bonjour.
Bonswa !,Bonsoir !
Bonswa Chikago,Bonsoir Chicago.
Bonswa madanm !,Bonsoir Madame !
Bonswa misyé !,Bonsoir monsieur !
Bonswa mésyézédanm !,Bonsoir Mesdames et Messieurs !
"Bonswa, ka ou fè ?","Bonsoir, ça va ?"
Bonswè !,Bonsoir !
Bonswè Chikago.,Bonsoir Chicago.
Bonswè madanm !,Bonsoir Madame !
Bonswè misyé !,Bonsoir monsieur !
Bonswè mésyézédanm !,Bonsoir Mesdames et Messieurs !
"Bonswè, ka ou fè ?","Bonsoir, ça va ?"
Bonswè.,Bonsoir.
Boug-la anba on pyé mango ka pran frèché.,L'homme est sous un manguier à prendre le frais.
Boug-la anba on pyé mango ka pwan frèché.,L'homme est sous un manguier à prendre le frais.
Bousòl ka di ou nò-la yé.,La boussole indique le nord.
Bousòl-la ka di ou nò-la yé.,La boussole indique le nord.
"Byenbonjou, non an mwen sé Tina.","Bonjour, je m'appelle Tina."
"Byenbonjou, tinon an mwen sé Tina.","Bonjour, je m'appelle Tina."
Byenvini !,Bienvenue !
Byenvini.,Bienvenue.
Bè-la fonn an bwèt-la.,Le beurre a fondu dans la boîte.
Bèt an mwen pa ni dlo.,Mes animaux n'ont rien à manger.
Bésé mizik-la !,Baisse la musique !
Chaché !,Cherche !
Chanm a'w gwan pasé tan mwen.,Votre chambre est plus grande que la mienne.
Chanm a'w pli gwan ki tan mwen.,Votre chambre est plus grande que la mienne.
Chanm a'w pli gwan pasé tan mwen.,Votre chambre est plus grande que la mienne.
Chanté !,Chante !
"Chanté ba on bouwikèt, sé kaka i ké ba'w.","Chantez pour un âne, il vous donnera des crottes."
Chat !,Chat !
Chwazi !,Choisis !
Chyen-la mòdé i.,Le chien l'a mordu.
Dakò.,D'accord.
Dansé !,Danse !
Dibout !,Debout !
Dibout.,Debout.
"Dis, onz, douz, twèz, katòz, kenz, sèz, disèt, dizywit, diznèf, ven.","Dix, onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt."
"Dis, ven, trant, karant, senkant, swasant, swasanndis, katrèven, katrèven-dis, san.","Dix, vingt, trente, quarante, cinquante, soixante, septante, huitante, nonante, cent."
Dlo-la fon.,L'eau est profonde.
Doubout !,Debout !
Doubout oka.,Tiens-toi prêt.
Doubout.,Debout.
Dàn k'ay koumansé.,Dan va commencer.
Dèbou.,Debout.
Dèbout !,Debout !
Désiné on mouton ban mwen.,Dessine-moi un mouton.
Désiné on mouton ban mwen...,Dessine-moi un mouton...
Dòmi !,Dors !
Eskizé mwen.,Excuse-moi.
"Fanm kréyòl an mouvman : isidan, toupatou, toulè, yè, jòdi é dèmen.","La femme créole en action : ici, ailleurs et en tout temps."
Fim-lasa ka fè yo pè.,Ce film leur fait peur.
Fiyèl a papa'w ka voyé bonjou ba'w.,Le filleul de ton père te passe le bonjour.
Fo ou di yo sa.,Il faut que tu le leur dises.
Fo ou di'y sa.,Il faut que tu le lui dises.
Fo zòt wou-alé ankò.,Il vous faut y aller de nouveau.
Fo'w wouvini.,Il faut que tu reviennes.
